"Date","Price","Open","High","Low","Vol.","Change %"
"04/14/2025","941.25","941.25","941.25","941.25","","-0.40%"
"04/11/2025","945.00","945.00","945.00","945.00","","0.88%"
"04/10/2025","936.75","936.75","936.75","936.75","","1.38%"
"04/09/2025","924.00","924.00","924.00","924.00","0.44K","-0.94%"
"04/08/2025","932.75","932.75","932.75","932.75","","-0.21%"
"04/07/2025","934.75","934.75","934.75","934.75","0.08K","-3.58%"
"04/04/2025","969.50","969.50","969.50","969.50","","-2.29%"
"04/03/2025","992.25","992.25","992.25","992.25","","-1.02%"
"04/02/2025","1,002.50","1,002.50","1,002.50","1,002.50","0.60K","1.73%"
"04/01/2025","985.50","985.50","985.50","985.50","","-1.18%"
"03/31/2025","997.25","997.25","997.25","997.25","","0.00%"
"03/28/2025","997.25","997.25","997.25","997.25","","0.13%"
"03/27/2025","996.00","996.00","996.00","996.00","","0.13%"
"03/26/2025","994.75","994.75","994.75","994.75","","0.08%"
"03/25/2025","994.00","994.00","994.00","994.00","","-0.30%"
"03/24/2025","997.00","997.00","997.00","997.00","","-0.50%"
"03/21/2025","1,002.00","1,002.00","1,002.00","1,002.00","","-0.20%"
"03/20/2025","1,004.00","1,004.00","1,004.00","1,004.00","","0.22%"
"03/19/2025","1,001.75","1,001.75","1,001.75","1,001.75","","0.33%"
"03/18/2025","998.50","998.50","998.50","998.50","","0.00%"
"03/17/2025","998.50","998.50","998.50","998.50","","-1.11%"
"03/14/2025","1,009.75","1,009.75","1,009.75","1,009.75","","0.27%"
"03/13/2025","1,007.00","1,007.00","1,007.00","1,007.00","","0.78%"
"03/12/2025","999.25","999.25","999.25","999.25","","0.08%"
"03/11/2025","998.50","998.50","998.50","998.50","","-0.42%"
"03/10/2025","1,002.75","1,002.75","1,002.75","1,002.75","","-1.76%"
"03/07/2025","1,020.75","1,020.75","1,020.75","1,020.75","","2.10%"
"03/06/2025","999.75","999.75","999.75","999.75","","1.76%"
"03/05/2025","982.50","982.50","982.50","982.50","","1.73%"
"03/04/2025","965.75","965.75","965.75","965.75","","-2.89%"
"03/03/2025","994.50","994.50","994.50","994.50","","-2.52%"
"02/28/2025","1,020.25","1,020.25","1,020.25","1,020.25","","0.02%"
"02/27/2025","1,020.00","1,020.00","1,020.00","1,020.00","","-0.29%"
"02/26/2025","1,023.00","1,023.00","1,023.00","1,023.00","","0.15%"
"02/25/2025","1,021.50","1,021.50","1,021.50","1,021.50","","-0.02%"
"02/24/2025","1,021.75","1,021.75","1,021.75","1,021.75","","-0.51%"
"02/21/2025","1,027.00","1,027.00","1,027.00","1,027.00","","0.27%"
"02/20/2025","1,024.25","1,024.25","1,024.25","1,024.25","","-0.15%"
"02/19/2025","1,025.75","1,025.75","1,025.75","1,025.75","","1.53%"
"02/18/2025","1,010.25","1,010.25","1,010.25","1,010.25","","0.07%"
"02/14/2025","1,009.50","1,009.50","1,009.50","1,009.50","","0.90%"
"02/13/2025","1,000.50","1,000.50","1,000.50","1,000.50","","-0.99%"
"02/12/2025","1,010.50","1,010.50","1,010.50","1,010.50","","0.42%"
"02/11/2025","1,006.25","1,006.25","1,006.25","1,006.25","","0.00%"
"02/10/2025","1,006.25","1,006.25","1,006.25","1,006.25","","1.05%"
"02/07/2025","995.75","995.75","995.75","995.75","0.40K","1.45%"
"02/06/2025","981.50","981.50","981.50","981.50","","1.42%"
"02/05/2025","967.75","967.75","967.75","967.75","","1.10%"
"02/04/2025","957.25","957.25","957.25","957.25","","-0.34%"
"02/03/2025","960.50","960.50","960.50","960.50","0.16K","-0.08%"
"01/31/2025","961.25","961.25","961.25","961.25","","0.00%"
"01/30/2025","961.25","961.25","961.25","961.25","","0.00%"
"01/29/2025","961.25","961.25","961.25","961.25","","0.00%"
"01/28/2025","961.25","961.25","961.25","961.25","","0.10%"
"01/27/2025","960.25","960.25","960.25","960.25","","0.18%"
"01/24/2025","958.50","958.50","958.50","958.50","","0.18%"
"01/23/2025","956.75","956.75","956.75","956.75","","-0.05%"
"01/22/2025","957.25","957.25","957.25","957.25","","-0.23%"
"01/21/2025","959.50","959.50","959.50","959.50","","0.81%"
"01/17/2025","951.75","951.75","951.75","951.75","","-0.03%"
"01/16/2025","952.00","952.00","952.00","952.00","","-0.83%"
"01/15/2025","960.00","960.00","960.00","960.00","","-0.90%"
"01/14/2025","968.75","968.75","968.75","968.75","","-0.64%"
"01/13/2025","975.00","975.00","975.00","975.00","","1.38%"
"01/10/2025","961.75","961.75","961.75","961.75","0.08K","1.72%"
"01/09/2025","945.50","945.50","945.50","945.50","","-1.28%"
"01/08/2025","957.75","957.75","957.75","957.75","","0.08%"
"01/07/2025","957.00","957.00","957.00","957.00","","0.53%"
"01/06/2025","952.00","952.00","952.00","952.00","","-0.73%"
"01/03/2025","959.00","959.00","959.00","959.00","","0.50%"
"01/02/2025","954.25","954.25","954.25","954.25","0.32K","-10.92%"
"12/31/2024","1,071.25","1,071.25","1,071.25","1,071.25","","-0.09%"
"12/30/2024","1,072.25","1,072.25","1,072.25","1,072.25","","-0.14%"
"12/27/2024","1,073.75","1,073.75","1,073.75","1,073.75","","0.21%"
"12/26/2024","1,071.50","1,071.50","1,071.50","1,071.50","","0.05%"
"12/24/2024","1,071.00","1,071.00","1,071.00","1,071.00","","0.09%"
"12/23/2024","1,070.00","1,070.00","1,070.00","1,070.00","","0.75%"
"12/20/2024","1,062.00","1,062.00","1,062.00","1,062.00","","-0.54%"
"12/19/2024","1,067.75","1,067.75","1,067.75","1,067.75","","-0.42%"
"12/18/2024","1,072.25","1,072.25","1,072.25","1,072.25","","-1.94%"
"12/17/2024","1,093.50","1,093.50","1,093.50","1,093.50","","-0.23%"
"12/16/2024","1,096.00","1,096.00","1,096.00","1,096.00","","-0.68%"
"12/13/2024","1,103.50","1,103.50","1,103.50","1,103.50","","-0.38%"
"12/12/2024","1,107.75","1,107.75","1,107.75","1,107.75","","1.00%"
"12/11/2024","1,096.75","1,096.75","1,096.75","1,096.75","","-1.08%"
"12/10/2024","1,108.75","1,108.75","1,108.75","1,108.75","","-2.53%"
"12/09/2024","1,137.50","1,137.50","1,137.50","1,137.50","","0.04%"
